Sl. Col. (1),State/UT Col. (2),Offences affecting the Human Body - Murder (Sec 302 IPC) - Col. (3),Offences affecting the Human Body - Culpable Homicide not amounting to Murder (Sec. 304 IPC) - Col. (4),Offences affecting the Human Body - Causing Death by Negligence (Sec. 304A IPC) - Col. (5),Offences affecting the Human Body - Dowry Deaths (Sec 304B IPC) - Col. (6),Offences affecting the Human Body - Abetment of Suicide (Sec. 305/306 IPC) - Col. (7),Offences affecting the Human Body - Attempt to Commit Murder (Sec. 307 IPC) - Col. (8),Offences affecting the Human Body - Attempt to commit Culpable Homicide (Sec. 308 IPC) - Col. (9),Offences affecting the Human Body - Attempt to Commit Suicide (Sec. 309 IPC) - Col. (10),"Offences affecting the Human Body - Miscarriage, Infanticide, Foeticide and Abandonment (Sec. 313-318 IPC) - Col. (11)",Offences affecting the Human Body - Hurt - Col. (12),Offences affecting the Human Body - Wrongful Restraint/Confinement (Sec 341-348 IPC) - Col. (13),Offences affecting the Human Body - Assault on Women with Intent to Outrage her Modesty (Sec. 354 IPC) - Col. (14),Offences affecting the Human Body - Kidnapping and Abduction (Sec 363-369 IPC) - Col. (15),Offences affecting the Human Body - Human Trafficking (Sec. 370 IPC) - Col. (16),Offences affecting the Human Body - Exploitation of Trafficked Person (Sec. 370A IPC) - Col. (17),Offences affecting the Human Body - Selling of Minors for Prostitution (Sec. 372 IPC) - Col. (18),Offences affecting the Human Body - Buying of Minors for Prostitution (Sec. 373 IPC) - Col. (19),Offences affecting the Human Body - Rape (Sec. 376 IPC) - Col. (20),Offences affecting the Human Body - Attempt to Commit Rape (Sec 376/511 IPC) - Col. (21),Offences affecting the Human Body - Unnatural Offences (Sec. 377 IPC) - Col. (22),Offences affecting the Human Body - Offences Affecting the Human Body (Total) - Col. (23),Offences against State - Offences against State (Sec. 121-124 IPC) - Col. (24),Offences against State - Offences against the State (Total) - Col. (25),Offences against Public Tranquility - Unlawful Assembly (Sec 143-145 IPC) - Col. (26),Offences against Public Tranquility - Riots (Sec 147-151 IPC) - Col. (27),Offences against Public Tranquility - Offences promoting enmity between different groups (Sec 153A & B IPC) - Col. (28),Offences against Public Tranquility - Affray (Sec. 159 & 160 IPC) - Col. (29),Offences against Public Tranquility - Offences against Public Tranquility (Total) - Col. (30),Offences against Property - Theft (Sec 379-382 IPC) - Col. (31),Offences against Property - Burglary (Sec 354-360 r/w 380 IPC) - Col. (32),Offences against Property - Extortion & Blackmailing (Sec 384-389 IPC) - Col. (33),Offences against Property - Robbery (392/394/397 IPC) - Col. (34),Offences against Property - Attempt to Commit Dacoity/Robbery (Sec 393/398 IPC) - Col. (35),Offences against Property - Dacoity (Sec. 395/397 IPC) - Col. (36),Offences against Property - Making Preparation and Assembly for committing Dacoity (Sec 399 & 402 IPC) - Col. (37),Offences against Property - Criminal Misappropriation (Sec 403&404 IPC) - Col. (38),Offences against Property - Criminal Breach of Trust (Sec 406-409 IPC) - Col. (39),Offences against Property - Dishonestly Receiving/Dealing-in Stolen Property (Sec 411-414 IPC) - Col. (40),Offences against Property - Offences against Property (Total) - Col. (41),"Offences Relating to Documents & Property Marks - Counterfeiting (Sec 231-235,237,238,240 & 242-254 IPC) - Col. (42)","Offences Relating to Documents & Property Marks - Forgery, Cheating & Fraud (Sec 420 r/w 465,468-471 IPC/IT Act) - Col. (43)",Offences Relating to Documents & Property Marks - Offences Relating to Documents & Property Marks (Total) - Col. (44),Miscellaneous IPC Crimes - Offences relating to Elections (Sec 171E to 171I r/w IPC/SLL) - Col. (45),Miscellaneous IPC Crimes - Disobedience to order duly promulgated by Public Servant (Sec. 188 IPC) - Col. (46),Miscellaneous IPC Crimes - Harbouring an Offender (Sec 212/216/216A IPC) - Col. (47),Miscellaneous IPC Crimes - Offences relating to Adulteration or Sale of Food/Drugs (Sec 272-276 IPC) - Col. (48),Miscellaneous IPC Crimes - Rash Driving on Public way (Sec. 279/279 r/w336 IPC) - Col. (49),Miscellaneous IPC Crimes - Obstruction on Public way (Sec 283 IPC) - Col. (50),Miscellaneous IPC Crimes - Sale of obscene Books/Objects (Sec292 & 293 IPC) - Col. (51),Miscellaneous IPC Crimes - Obscene Acts and Songs at Public Places (Sec 294 IPC) - Col. (52),Miscellaneous IPC Crimes - Offences relating to Religion (Sec 295-297 IPC) - Col. (53),Miscellaneous IPC Crimes - Cheating by Impersonation (Sec 419 IPC) - Col. (54),Miscellaneous IPC Crimes - Offences related to Mischief (Sec 428-433 IPC) - Col. (55),"Miscellaneous IPC Crimes - Arson (Sec 435,436 & 438 IPC) - Col. (56)",Miscellaneous IPC Crimes - Criminal Trespass (Sec 447 to 452 IPC) - Col. (57),Miscellaneous IPC Crimes - Cruelty by Husband or his Relatives (Sec 498A IPC) - Col. (58),Miscellaneous IPC Crimes - Circulate False/Fake News/Rumours (Sec 505 IPC/ Section 505 IPC r/w IT Act) - Col. (59),Miscellaneous IPC Crimes - Criminal Intimidation (Sec 506 IPC/ Sec.506 IPC r/w Other IPC) - Col. (60),Miscellaneous IPC Crimes - Insult to the Modesty of Women (Sec 509 IPC) - Col. (61),Miscellaneous IPC Crimes - Miscellaneous IPC Crimes(Total) - Col. (62),Other IPC crimes - Col. (63),Total Cognizable IPC crimes - Col. (64)
1,Andhra Pradesh,27,7,11,2,3,36,0,1,0,57,0,39,18,0,0,0,0,58,5,2,266,0,0,0,6,0,0,6,337,134,2,18,1,7,9,0,0,3,511,1,10,11,0,14,0,0,10,0,0,0,0,0,0,1,5,0,0,1,2,33,13,840
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3,Assam,8,0,1,0,0,2,0,0,0,0,0,3,47,0,0,0,0,14,1,0,76,0,0,0,0,0,0,0,66,5,0,3,0,1,0,0,0,0,75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,157
4,Bihar,10,0,2,2,0,66,1,0,0,203,0,2,3,0,0,0,0,3,0,0,292,0,0,0,9,0,0,9,228,35,0,21,0,3,0,0,0,24,311,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,618
5,Chhattisgarh,43,1,22,0,2,49,0,0,0,748,3,48,26,2,0,0,0,106,1,3,1054,0,0,0,78,0,0,78,154,188,1,42,0,8,1,0,0,0,394,0,0,0,0,0,0,0,37,0,0,5,1,0,0,0,2,2,0,8,2,57,116,1699
6,Goa,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7,Gujarat,83,1,23,0,7,63,2,0,6,333,0,16,28,0,0,0,0,8,0,1,571,0,0,1,29,0,2,32,447,101,5,40,0,10,2,0,3,0,608,1,9,10,1,4,0,0,27,0,0,0,0,0,5,7,17,5,0,167,0,233,47,1501
8,Haryana,35,0,15,1,3,41,2,0,1,151,5,33,24,0,0,0,0,7,3,2,323,0,0,0,53,1,2,56,206,100,5,27,1,17,2,0,0,19,377,1,2,3,0,0,0,0,17,0,0,0,0,0,0,2,23,1,0,68,1,112,85,956
9,Himachal Pradesh,3,1,6,0,0,5,0,0,1,24,6,6,7,0,1,0,0,27,1,0,88,0,0,3,9,0,0,12,22,12,0,0,0,1,0,0,1,0,36,1,0,1,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,1,0,20,1,158
10,Jharkhand,7,0,0,0,0,5,0,0,0,1,0,0,3,0,0,0,0,10,0,0,26,0,0,0,0,0,0,0,12,3,0,2,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,49
11,Karnataka,27,2,13,0,1,47,0,1,0,49,1,8,3,0,0,0,0,9,0,0,161,0,0,0,29,1,0,30,93,20,0,27,1,5,12,0,0,0,158,0,1,1,1,0,0,0,35,0,0,0,7,0,1,0,0,5,0,1,0,50,27,427
12,Kerala,4,0,5,0,0,5,6,0,0,31,0,13,5,1,0,0,0,27,0,3,100,0,0,0,5,0,1,6,56,30,0,3,0,0,0,0,0,0,89,0,1,1,0,0,0,0,20,0,0,0,0,0,0,2,0,0,0,2,0,24,3,223
13,Madhya Pradesh,126,13,45,12,29,140,1,0,0,1630,4,243,215,1,0,0,0,280,1,10,2750,0,0,0,35,1,0,36,667,276,5,71,0,9,14,0,1,0,1043,1,11,12,0,23,0,0,340,0,0,106,2,2,0,9,22,5,3,48,3,563,53,4457
14,Maharashtra,163,6,35,0,6,287,1,0,0,1048,5,182,81,2,1,0,0,162,0,8,1987,0,0,7,365,1,3,376,972,278,7,247,3,65,12,0,3,0,1587,0,14,14,0,24,0,0,69,0,0,12,6,0,0,12,26,13,1,0,13,176,20,4160
15,Manipur,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7
16,Meghalaya,1,0,0,0,0,3,0,0,0,4,0,0,2,0,0,0,0,2,1,0,13,0,0,0,0,0,0,0,5,2,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,25
17,Mizoram,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,23
18,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
19,Odisha,9,0,2,0,0,20,0,0,0,8,0,14,9,0,0,0,0,34,0,0,96,0,0,0,8,0,0,8,407,83,1,20,0,13,0,0,0,0,524,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,678,1,685,8,1321
